fifa_rank,fifa_name,country_code,fifa_points,confederation,ranking_date
129,Estonia,EST,1127.2,UEFA,2025-09-18T07:45:00+00:00
130,Guinea-Bissau,GNB,1126.81,CAF,2025-09-18T07:45:00+00:00
131,Suriname,SUR,1125.21,CONCACAF,2025-09-18T07:45:00+00:00
132,Nicaragua,NCA,1120.78,CONCACAF,2025-09-18T07:45:00+00:00
133,Congo,CGO,1119.77,CAF,2025-09-18T07:45:00+00:00
134,India,IND,1113.8,AFC,2025-09-18T07:45:00+00:00
135,Kuwait,KUW,1100.38,AFC,2025-09-18T07:45:00+00:00
136,Faroe Islands,FRO,1094.46,UEFA,2025-09-18T07:45:00+00:00
137,Latvia,LVA,1088.8,UEFA,2025-09-18T07:45:00+00:00
138,Turkmenistan,TKM,1087.96,AFC,2025-09-18T07:45:00+00:00
139,Botswana,BOT,1087.27,CAF,2025-09-18T07:45:00+00:00
140,Central African Republic,CTA,1081.36,CAF,2025-09-18T07:45:00+00:00
141,Burundi,BDI,1077.05,CAF,2025-09-18T07:45:00+00:00
142,Dominican Republic,DOM,1074.46,CONCACAF,2025-09-18T07:45:00+00:00
143,Philippines,PHI,1066.35,AFC,2025-09-18T07:45:00+00:00
144,Liberia,LBR,1065.62,CAF,2025-09-18T07:45:00+00:00
145,Lithuania,LTU,1065.34,UEFA,2025-09-18T07:45:00+00:00
146,"Hong Kong, China",HKG,1047.36,AFC,2025-09-18T07:45:00+00:00
147,Ethiopia,ETH,1046.41,CAF,2025-09-18T07:45:00+00:00
148,Solomon Islands,SOL,1045.58,OFC,2025-09-18T07:45:00+00:00
149,St Kitts and Nevis,SKN,1041.53,CONCACAF,2025-09-18T07:45:00+00:00
150,New Caledonia,NCL,1039.55,OFC,2025-09-18T07:45:00+00:00
151,Guyana,GUY,1037.34,CONCACAF,2025-09-18T07:45:00+00:00
152,Fiji,FIJ,1035.11,OFC,2025-09-18T07:45:00+00:00
153,Lesotho,LES,1034.1,CAF,2025-09-18T07:45:00+00:00
154,Yemen,YEM,1021.25,AFC,2025-09-18T07:45:00+00:00
155,Puerto Rico,PUR,1020.44,CONCACAF,2025-09-18T07:45:00+00:00
156,Moldova,MDA,1019.2,UEFA,2025-09-18T07:45:00+00:00
157,Tahiti,TAH,1019.04,OFC,2025-09-18T07:45:00+00:00
158,Singapore,SGP,1013.34,AFC,2025-09-18T07:45:00+00:00
159,Eswatini,SWZ,1010.06,CAF,2025-09-18T07:45:00+00:00
160,Myanmar,MYA,1004.15,AFC,2025-09-18T07:45:00+00:00
161,Afghanistan,AFG,998.88,AFC,2025-09-18T07:45:00+00:00
162,Antigua and Barbuda,ATG,992.38,CONCACAF,2025-09-18T07:45:00+00:00
163,Vanuatu,VAN,991.59,OFC,2025-09-18T07:45:00+00:00
164,St Lucia,LCA,990.69,CONCACAF,2025-09-18T07:45:00+00:00
165,Bermuda,BER,988.72,CONCACAF,2025-09-18T07:45:00+00:00
166,Malta,MLT,982.43,UEFA,2025-09-18T07:45:00+00:00
167,Cuba,CUB,980.33,CONCACAF,2025-09-18T07:45:00+00:00
168,Grenada,GRN,978.4,CONCACAF,2025-09-18T07:45:00+00:00
169,South Sudan,SSD,976.56,CAF,2025-09-18T07:45:00+00:00
170,Papua New Guinea,PNG,969.17,OFC,2025-09-18T07:45:00+00:00
171,Maldives,MDV,968.59,AFC,2025-09-18T07:45:00+00:00
172,St Vincent and the Grenadines,VIN,962.43,CONCACAF,2025-09-18T07:45:00+00:00
173,Chinese Taipei,TPE,960.81,AFC,2025-09-18T07:45:00+00:00
174,Andorra,AND,954.68,UEFA,2025-09-18T07:45:00+00:00
175,Chad,CHA,925.82,CAF,2025-09-18T07:45:00+00:00
176,Nepal,NEP,923.02,AFC,2025-09-18T07:45:00+00:00
177,Barbados,BRB,919.97,CONCACAF,2025-09-18T07:45:00+00:00
178,Montserrat,MSR,916.75,CONCACAF,2025-09-18T07:45:00+00:00
179,Mauritius,MRI,912.24,CAF,2025-09-18T07:45:00+00:00
180,Cambodia,CAM,910.21,AFC,2025-09-18T07:45:00+00:00
181,Belize,BLZ,904.45,CONCACAF,2025-09-18T07:45:00+00:00
182,Dominica,DMA,901.37,CONCACAF,2025-09-18T07:45:00+00:00
183,Brunei Darussalam,BRU,900.62,AFC,2025-09-18T07:45:00+00:00
184,Bangladesh,BAN,899.24,AFC,2025-09-18T07:45:00+00:00
185,Laos,LAO,890.35,AFC,2025-09-18T07:45:00+00:00
186,Bhutan,BHU,888.94,AFC,2025-09-18T07:45:00+00:00
187,American Samoa,ASA,883.17,OFC,2025-09-18T07:45:00+00:00
188,Mongolia,MNG,879.75,AFC,2025-09-18T07:45:00+00:00
189,Cook Islands,COK,877.53,OFC,2025-09-18T07:45:00+00:00
190,Samoa,SAM,876.41,OFC,2025-09-18T07:45:00+00:00
191,Macau,MAC,865.29,AFC,2025-09-18T07:45:00+00:00
192,Aruba,ARU,861.16,CONCACAF,2025-09-18T07:45:00+00:00
193,Djibouti,DJI,855.91,CAF,2025-09-18T07:45:00+00:00
194,Timor-Leste,TLS,855.36,AFC,2025-09-18T07:45:00+00:00
195,São Tomé and Príncipe,STP,854.76,CAF,2025-09-18T07:45:00+00:00
196,Cayman Islands,CAY,853.37,CONCACAF,2025-09-18T07:45:00+00:00
197,Sri Lanka,SRI,852.3,AFC,2025-09-18T07:45:00+00:00
198,Tonga,TGA,835.64,OFC,2025-09-18T07:45:00+00:00
199,Pakistan,PAK,829.41,AFC,2025-09-18T07:45:00+00:00
200,Gibraltar,GIB,827.19,UEFA,2025-09-18T07:45:00+00:00
201,Somalia,SOM,824.76,CAF,2025-09-18T07:45:00+00:00
202,Guam,GUM,823.08,AFC,2025-09-18T07:45:00+00:00
203,Seychelles,SEY,812.32,CAF,2025-09-18T07:45:00+00:00
204,Liechtenstein,LIE,808.48,UEFA,2025-09-18T07:45:00+00:00
205,Bahamas,BAH,807.36,CONCACAF,2025-09-18T07:45:00+00:00
206,Turks and Caicos Islands,TCA,803.98,CONCACAF,2025-09-18T07:45:00+00:00
207,US Virgin Islands,VIR,779.71,CONCACAF,2025-09-18T07:45:00+00:00
208,British Virgin Islands,VGB,768.5,CONCACAF,2025-09-18T07:45:00+00:00
209,Anguilla,AIA,758.52,CONCACAF,2025-09-18T07:45:00+00:00
210,San Marino,SMR,733.23,UEFA,2025-09-18T07:45:00+00:00
