canonical_name,confederation,elo_code,elo_rating,fifa_rank,fifa_points,form_points,form_max,form_matches,market_value_total,market_value_avg,avg_age,top_player,top_player_value,pct_top5_leagues,wc_exp_raw,elo_n,fifa_n,form_n,value_n,value_avg_n,top5_n,age_n,wc_exp_n
United States,CONCACAF,US,1780,16,1670.04,24.0,42.0,20,375500000.0,14442307.69,23.65,Christian Pulisic,50000000.0,0.5385,10.053451981693303,0.48777173913043476,0.6612442875290779,0.5714285714285714,0.2151758598506949,0.21517585983024165,0.5385,0.7758251355329708,0.24696232709004856
Paraguay,CONMEBOL,PY,1780,37,1501.01,28.5,51.0,20,146200000.0,5623076.92,26.65,Julio Enciso,22000000.0,0.1923,5.311751275943781,0.48777173913043476,0.3823767178658044,0.5588235294117647,0.07795879897670661,0.07795879893443146,0.1923,0.9992971221344573,0.13048278923690287
Australia,AFC,AU,1777,25,1583.49,33.0,51.0,20,46100000.0,1773076.92,25.85,Alessandro Circati,8500000.0,0.1538,7.935646518099314,0.483695652173913,0.5184531371158003,0.6470588235294118,0.018057238603892703,0.01805723855731602,0.1538,0.986883653917413,0.1949385877251445
Algeria,CAF,DZ,1772,38,1500.74,38.0,49.5,20,237800000.0,9146153.85,25.81,Rayan Aït-Nouri,35000000.0,0.4231,2.7229978179996452,0.47690217391304346,0.3819312688697145,0.7676767676767676,0.13277381326391693,0.13277381333329313,0.4231,0.9852320074371868,0.06689024615812124
Iran,AFC,IR,1772,21,1622.61,35.0,51.0,20,51550000.0,1982692.31,27.42,Mehdi Taremi,8000000.0,0.0,6.092505236385152,0.47690217391304346,0.5829937472159437,0.6862745098039216,0.02131861227054441,0.021318612307980333,0.0,0.9738967374550571,0.1496619542944851
Canada,CONCACAF,CA,1767,26,1558.04,27.5,45.0,20,195100000.0,7503846.15,25.15,Alphonso Davies,50000000.0,0.2692,0.0,0.4701086956521739,0.4764654447065811,0.6111111111111112,0.10722139939859072,0.10722139934644859,0.2692,0.944638348251303,0.0
Panama,CONCACAF,PA,1730,29,1529.71,32.5,49.5,20,34975000.0,1345192.31,27.04,Amir Murillo,7000000.0,0.0,0.0,0.41983695652173914,0.4297262963390693,0.6565656565656566,0.011399847403617432,0.011399847440341088,0.0,0.9909288930014639,0.0
Uzbekistan,AFC,UZ,1714,54,1453.31,31.5,51.0,20,51400000.0,1976923.08,26.69,Abdukodir Khusanov,12000000.0,0.0385,0.0,0.39809782608695654,0.30368072855658024,0.6176470588235294,0.02122884969256317,0.02122884974196099,0.0385,0.9988725110937875,0.0
Sweden,UEFA,SE,1712,32,1524.62,29.0,51.0,20,384500000.0,14788461.54,24.08,Alexander Isak,75000000.0,0.6538,10.379549949950823,0.3953804347826087,0.42132875785722523,0.5686274509803921,0.2205616145295693,0.2205616145693445,0.6538,0.8327577462002038,0.25497290029881914
Czech Republic,UEFA,CZ,1712,39,1500.29,34.0,54.0,20,201000000.0,7730769.23,25.08,Tomáš Souček,24000000.0,0.3846,0.8595143905805702,0.3953804347826087,0.3811888538762312,0.6296296296296297,0.11075206079918615,0.11075206079517093,0.3846,0.9389317369690666,0.021113909376768145
Egypt,CAF,EG,1696,35,1519.18,30.5,54.0,20,164900000.0,6342307.69,28.19,Omar Marmoush,60000000.0,0.1538,0.21079844912372867,0.3736413043478261,0.4123537854915614,0.5648148148148148,0.08914920036503449,0.08914920033553127,0.1538,0.9146140325942824,0.005178248788313295
Ivory Coast,CAF,CI,1695,44,1483.9,36.0,52.5,20,365000000.0,14038461.54,25.27,Ousmane Diomande,40000000.0,0.5,3.7481318134893837,0.37228260869565216,0.3541484500024749,0.6857142857142857,0.20889247939200814,0.20889247943094538,0.5,0.9538220789305027,0.09207258925442992
Jordan,AFC,JO,1680,62,1391.33,22.0,43.5,20,15925000.0,612500.0,26.46,Mousa Tamari,6000000.0,0.0385,0.0,0.35190217391304346,0.20142543678748773,0.5057471264367817,0.0,0.0,0.0385,0.9999500012499791,0.0
DR Congo,CAF,CD,1652,60,1407.6,34.0,52.5,20,174700000.0,6719230.77,26.12,Yoane Wissa,28000000.0,0.4231,0.0,0.3138586956521739,0.22826786332964863,0.6476190476190476,0.09501368879314213,0.09501368881193341,0.4231,0.9954976660309717,0.0
Tunisia,CAF,TN,1628,46,1483.02,27.0,46.5,20,76450000.0,2940384.62,26.5,Ellyes Skhiri,9000000.0,0.1923,5.8173522853540405,0.28125,0.35269661623744086,0.5806451612903226,0.03621920021543019,0.03621920028984115,0.1923,1.0,0.14290284178108426
Bosnia and Herzegovina,UEFA,BA,1616,73,1344.25,24.5,54.0,20,112100000.0,4311538.46,25.46,Ermedin Demirovic,28000000.0,0.2308,1.417099658223044,0.264945652173913,0.123752330358174,0.4537037037037037,0.05755277291563814,0.05755277289583431,0.2308,0.9667648382711531,0.034810951497112524
Iraq,AFC,IQ,1607,58,1422.2,29.0,55.5,20,18050000.0,694230.77,25.12,Ali Al-Hamadi,2500000.0,0.0,0.0,0.25271739130434784,0.25235510534043865,0.5225225225225225,0.0012716365214008947,0.0012716365334605548,0.0,0.9422237557206721,0.0
Cape Verde,CAF,CV,1578,70,1363.21,27.0,52.5,20,46250000.0,1778846.15,26.62,Logan Costa,15000000.0,0.0385,0.0,0.21331521739130435,0.15503274875026818,0.5142857142857142,0.018147001181873942,0.01814700112333536,0.0385,0.9995501012348142,0.0
Saudi Arabia,AFC,SA,1576,59,1420.65,22.5,46.5,20,31550000.0,1213461.54,25.73,Firas Al-Buraikan,5000000.0,0.0385,5.428284768082426,0.2105978260869565,0.24979789814066308,0.4838709677419355,0.00935026853971246,0.009350268564320592,0.0385,0.9816424655091982,0.13334542611574757
New Zealand,OFC,NZ,1562,83,1283.94,23.5,46.5,20,26050000.0,1001923.08,25.65,Chris Wood,7000000.0,0.0385,1.103638323514327,0.19157608695652173,0.024252223120452786,0.5053763440860215,0.006058974013733675,0.006058974062042144,0.0385,0.9776748533617128,0.027110796285411933
Haiti,CONCACAF,HT,1548,87,1269.24,30.5,52.5,20,43700000.0,1680769.23,26.77,Jean-Ricner Bellegarde,18000000.0,0.1154,0.0,0.17255434782608695,0.0,0.580952380952381,0.01662103735619287,0.01662103734541808,0.1154,0.997724467957357,0.0
South Africa,CAF,ZA,1511,55,1448.67,29.0,49.5,20,38900000.0,1496153.85,27.15,Lyle Foster,9000000.0,0.0385,2.711586292180379,0.12228260869565218,0.29602560506821984,0.5858585858585859,0.013748634860793202,0.013748634921622212,0.0385,0.986883653917413,0.06660992284458615
Ghana,CAF,GH,1510,75,1340.84,22.5,52.5,20,276900000.0,10650000.0,24.62,Mohammed Kudus,50000000.0,0.5769,7.470833212487909,0.12092391304347826,0.11812647451866748,0.42857142857142855,0.1561719252576934,0.1561719252689081,0.5769,0.8954311006252471,0.1835204822002722
Curaçao,CONCACAF,CW,1434,84,1282.42,31.5,55.5,20,33600000.0,1292307.69,26.73,Tahith Chong,6000000.0,0.0,0.0,0.017663043478260868,0.021744510253576075,0.5675675675675675,0.010577023772122735,0.01057702373697724,0.0,0.9983482406584944,0.0
Qatar,AFC,QA,1421,53,1453.65,17.5,51.0,20,25100000.0,965384.62,28.04,Akram Afif,7500000.0,0.0,0.0,0.0,0.30424166432943445,0.3431372549019608,0.005490477686519157,0.005490477758723491,0.0,0.9285672241522603,0.0
