wpi_rank,canonical_name,confederation,wpi,elo_n,fifa_n,form_n,value_n,value_avg_n,top5_n,age_n,wc_exp_n
28,Scotland,UEFA,0.4054181534035595,0.4556616643929058,0.3560952270964974,0.5980392156862745,0.1487515521445775,0.148751552107386,0.5,0.9567117591570788,0.0303389541748949
29,Iran,AFC,0.40001198796956344,0.4843110504774898,0.5829937472159437,0.6470588235294118,0.0213186122705444,0.0213186123079803,0.0,0.9738967374550572,0.1496619542944851
30,Canada,CONCACAF,0.3982101568048983,0.4597544338335607,0.4764654447065811,0.6111111111111112,0.1072213993985907,0.1072213993464485,0.2692,0.944638348251303,0.0
31,Paraguay,CONMEBOL,0.39261854143871927,0.5525238744884038,0.3823767178658044,0.5588235294117647,0.0779587989767066,0.0779587989344314,0.1923,0.9992971221344572,0.1304827892369028
32,Egypt,CAF,0.35960746454907766,0.4488403819918145,0.4123537854915614,0.5648148148148148,0.0891492003650344,0.0891492003355312,0.1538,0.9146140325942824,0.0051782487883132
33,Czech Republic,UEFA,0.35861850834415226,0.3669849931787176,0.3811888538762312,0.5370370370370371,0.1107520607991861,0.1107520607951709,0.3846,0.9389317369690666,0.0211139093767681
34,DR Congo,CAF,0.34938407124057913,0.3478854024556617,0.2282678633296486,0.6666666666666666,0.0950136887931421,0.0950136888119334,0.4231,0.9954976660309716,0.0
35,Panama,CONCACAF,0.31870688450197854,0.3506139154160982,0.4297262963390693,0.5959595959595959,0.0113998474036174,0.011399847440341,0.0,0.990928893001464,0.0
36,Ghana,CAF,0.30507832312086536,0.2360163710777626,0.1181264745186674,0.4857142857142857,0.1561719252576934,0.1561719252689081,0.5769,0.8954311006252471,0.1835204822002722
37,Uzbekistan,AFC,0.2874082906247059,0.3628922237380627,0.3036807285565802,0.5,0.0212288496925631,0.0212288497419609,0.0385,0.9988725110937876,0.0
38,Tunisia,CAF,0.27947839416812537,0.2060027285129604,0.3526966162374408,0.4545454545454545,0.0362192002154301,0.0362192002898411,0.1923,1.0,0.1429028417810842
39,South Africa,CAF,0.2630009043246019,0.223738062755798,0.2960256050682198,0.5454545454545454,0.0137486348607932,0.0137486349216222,0.0385,0.986883653917413,0.0666099228445861
40,Bosnia and Herzegovina,UEFA,0.26023932449441295,0.2878581173260573,0.123752330358174,0.4907407407407407,0.0575527729156381,0.0575527728958343,0.2308,0.9667648382711532,0.0348109514971125
41,Saudi Arabia,AFC,0.2459479117037411,0.2482946793997271,0.249797898140663,0.4408602150537634,0.0093502685397124,0.0093502685643205,0.0385,0.9816424655091982,0.1333454261157475
42,Jordan,AFC,0.24381183009623258,0.3015006821282401,0.2014254367874877,0.4666666666666667,0.0,0.0,0.0385,0.9999500012499792,0.0
43,Iraq,AFC,0.24141515337316868,0.2387448840381991,0.2523551053404386,0.5225225225225225,0.0012716365214008,0.0012716365334605,0.0,0.942223755720672,0.0
44,Cape Verde,CAF,0.24080887654858912,0.2919508867667121,0.1550327487502681,0.4952380952380952,0.0181470011818739,0.0181470011233353,0.0385,0.9995501012348142,0.0
45,New Zealand,OFC,0.18793845317490984,0.1882673942701228,0.0242522231204527,0.4848484848484848,0.0060589740137336,0.0060589740620421,0.0385,0.9776748533617128,0.0271107962854119
46,Haiti,CONCACAF,0.1687437425972445,0.1446111869031378,0.0,0.4095238095238095,0.0166210373561928,0.016621037345418,0.1154,0.997724467957357,0.0
47,Qatar,AFC,0.1535558967507225,0.0,0.3042416643294344,0.284313725490196,0.0054904776865191,0.0054904777587234,0.0,0.9285672241522605,0.0
48,Curaçao,CONCACAF,0.14290122335825153,0.0368349249658935,0.021744510253576,0.4594594594594595,0.0105770237721227,0.0105770237369772,0.0,0.9983482406584944,0.0
